City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,14/04/2014,"✕✕ ✕, JALAN KAJANG JAYA",SEMI-D FACTORY,"23,842 ft²","9,909 ft²",312,"7,444,880"
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,24/07/2013,"✕✕ ✕✕, JALAN KAJANG JAYA",SEMI-D FACTORY,"23,056 ft²","12,804 ft²",287,"6,618,210"
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,24/07/2013,"✕✕ ✕, JALAN KAJANG JAYA",SEMI-D FACTORY,"22,141 ft²","12,804 ft²",294,"6,515,148"
semenyih,kawasan-perindustrian-kajang-jaya--semenyih-,,,,,,,
semenyih,signature-industrial-park,02/03/2016,"✕✕ ✕✕, JALAN SEMENYIH BANGI LAMA",SEMI-D FACTORY,"22,978 ft²","15,821 ft²",239,"5,500,000"
semenyih,signature-industrial-park,18/03/2015,"✕✕ ✕✕, JALAN 1, KAWASAN PERINDUSTRIAN LEKAS 18",SEMI-D FACTORY,"11,277 ft²","4,301 ft²",355,"4,000,000"
semenyih,signature-industrial-park,16/03/2015,"✕✕ ✕✕, JALAN SEMENYIH BANGI LAMA",SEMI-D FACTORY,"19,947 ft²","12,943 ft²",237,"4,720,000"
semenyih,signature-industrial-park,05/11/2014,"✕✕ ✕, JALAN SEMENYIH BANGI LAMA",SEMI-D FACTORY,"19,052 ft²","13,361 ft²",258,"4,920,000"
semenyih,signature-industrial-park,21/05/2014,"✕✕ ✕, JALAN SEMENYIH BANGI LAMA",SEMI-D FACTORY,"19,669 ft²","12,922 ft²",262,"5,150,000"
semenyih,signature-industrial-park,06/02/2014,"✕✕ ✕✕, JALAN SEMENYIH BANGI LAMA",SEMI-D FACTORY,"17,180 ft²","11,627 ft²",257,"4,420,000"
semenyih,signature-industrial-park,16/07/2013,"✕✕ ✕, JALAN SEMENYIH BANGI LAMA",SEMI-D FACTORY,"34,434 ft²","7,683 ft²",182,"6,280,000"
semenyih,signature-industrial-park,,,,,,,
semenyih,taman-industri-sungai-purun,06/03/2017,"✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"10,163 ft²","3,216 ft²",196,"1,990,000"
semenyih,taman-industri-sungai-purun,05/01/2017,"✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"10,604 ft²","3,745 ft²",198,"2,100,000"
semenyih,taman-industri-sungai-purun,28/11/2013,"✕✕ ✕✕ ✕✕✕ ✕✕✕✕ ✕✕✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"11,396 ft²","4,256 ft²",205,"2,340,000"
semenyih,taman-industri-sungai-purun,28/11/2013,"✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"10,977 ft²","3,249 ft²",192,"2,110,000"
semenyih,taman-industri-sungai-purun,28/11/2013,"✕✕ ✕✕ ✕✕✕ ✕✕✕✕ ✕✕✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"16,284 ft²","4,256 ft²",179,"2,910,000"
semenyih,taman-industri-sungai-purun,28/11/2013,"✕✕ ✕✕ ✕✕✕ ✕✕✕✕ ✕✕✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"10,584 ft²","3,736 ft²",205,"2,170,000"
semenyih,taman-industri-sungai-purun,04/11/2013,"✕✕ ✕ ✕✕✕ ✕✕✕✕ ✕✕✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"21,371 ft²","6,268 ft²",175,"3,740,000"
semenyih,taman-industri-sungai-purun,04/11/2013,"✕✕ ✕ ✕✕✕ ✕✕✕✕ ✕✕✕✕, JALAN BESI 1/1",SEMI-D FACTORY,"14,845 ft²","6,268 ft²",204,"3,030,000"
semenyih,taman-industri-sungai-purun,,,,,,,
shah-alam,seksyen-17--shah-alam,07/08/2014,"✕✕, JALAN 17/58A",OTHERS - WORKSHOP,559,"420,000","
							",
shah-alam,seksyen-17--shah-alam,,,,,,,
shah-alam,p-l-1908-bukit-kemuning,17/12/2013,"✕, JALAN SPRING 34/23",SEMI-D FACTORY,"25,898 ft²","12,435 ft²",212,"5,500,000"
shah-alam,p-l-1908-bukit-kemuning,,,,,,,
shah-alam,seksyen-17--shah-alam,23/04/2014,"✕✕.✕✕, JALAN 17/58A",TERRACE FACTORY,"2,074 ft²",752 ft²,216,"448,000"
shah-alam,seksyen-17--shah-alam,,,,,,,
shah-alam,seksyen-22-shah-alam,01/07/2016,"✕, PERSIARAN JUBLI PERAK",DETACHED FACTORY,,"19,630 ft²",135,"25,750,000"
shah-alam,seksyen-22-shah-alam,13/04/2015,"✕✕✕ ✕✕✕✕✕, JALAN SUBANG UTAMA 5(LION INDUSTRIAL PARK)",DETACHED FACTORY,,"18,390 ft²",199,"17,500,000"
shah-alam,seksyen-22-shah-alam,,,,,,,
shah-alam,lion-industrial-park,03/07/2015,"✕, JALAN SU 8A",TERRACE FACTORY,"1,485 ft²","1,400 ft²",337,"500,000"
shah-alam,lion-industrial-park,10/06/2014,"✕-✕✕ (✕✕ ✕✕✕✕✕), JALAN SU 8",DETACHED FACTORY,"42,410 ft²","25,674 ft²",170,"7,200,000"
shah-alam,lion-industrial-park,,,,,,,
shah-alam,mah-sing-intergrated-industrial-park,22/08/2013,"✕✕, JALAN UTARID U5/29",TERRACE FACTORY - INTERMEDIATE,"3,003 ft²","3,119 ft²",366,"1,100,000"
shah-alam,mah-sing-intergrated-industrial-park,03/04/1997,"✕✕, JALAN U5/29",TERRACE FACTORY,"3,003 ft²","2,823 ft²",113,"339,888"
shah-alam,mah-sing-intergrated-industrial-park,22/09/1995,"✕✕ ✕✕, JALAN U5/24",TERRACE FACTORY,"2,400 ft²","2,790 ft²",124,"296,888"
shah-alam,mah-sing-intergrated-industrial-park,,,,,,,
shah-alam,bukit-naga-light-industrial-park,26/02/2016,"✕✕. ✕, JALAN BUKIT KEMUNING",SEMI-D FACTORY,"8,525 ft²","4,367 ft²",223,"1,900,000"
shah-alam,bukit-naga-light-industrial-park,08/12/2014,"✕✕. ✕, JALAN BUKIT KEMUNING",SEMI-D FACTORY,"8,525 ft²","4,367 ft²",252,"2,150,000"
shah-alam,bukit-naga-light-industrial-park,04/08/2014,"✕✕ (✕✕✕✕✕), BATU 6 JALAN BUKIT KEMUNING",SEMI-D FACTORY,"11,356 ft²","4,000 ft²",220,"2,500,000"
shah-alam,bukit-naga-light-industrial-park,,,,,,,
shah-alam,buikit-kemuning-eletroplating-park,02/11/2016,"✕✕. ✕✕, JALAN 5 OFF JALAN BUKIT RIMAU",TERRACE FACTORY - INTERMEDIATE,"6,631 ft²","6,393 ft²",102,"679,572"
shah-alam,buikit-kemuning-eletroplating-park,02/11/2016,"✕✕. ✕✕, JALAN 5 OFF JALAN BUKIT RIMAU",TERRACE FACTORY - END LOT,"6,631 ft²","6,393 ft²",102,"679,572"
shah-alam,buikit-kemuning-eletroplating-park,10/10/2014,"✕✕, JALAN 5",TERRACE FACTORY - END LOT,"6,631 ft²","6,393 ft²",360,"2,386,800"
shah-alam,buikit-kemuning-eletroplating-park,,,,,,,
shah-alam,syit-100a,07/07/2017,"✕✕✕ ✕✕✕✕✕, BATU 7/2 JALAN BUKIT KEMUNING P/L 1921",TERRACE FACTORY - INTERMEDIATE,"2,077 ft²","3,978 ft²",144,"300,000"
shah-alam,syit-100a,12/08/2016,"✕✕. ✕✕, JALAN RAJA LUMU 35/132 (P/L 1234)",SEMI-D FACTORY,"12,077 ft²","3,676 ft²",282,"3,400,000"
shah-alam,syit-100a,18/05/2016,"✕✕✕✕✕✕, JALAN BUKIT KEMUNING",DETACHED FACTORY,"31,635 ft²","10,082 ft²",110,"3,479,850"
shah-alam,syit-100a,30/07/2013,"✕✕✕✕ ✕, BUKIT KEMUNING",WAREHOUSE,,"9,042 ft²",54,"7,000,000"
shah-alam,syit-100a,,,,,,,
shah-alam,p-l-1950-bukit-kemuning,11/06/2015,"✕, JALAN 32/2",TERRACE FACTORY - INTERMEDIATE,"2,799 ft²","3,570 ft²",259,"725,000"
shah-alam,p-l-1950-bukit-kemuning,11/06/2015,"✕, JALAN 32/2",TERRACE FACTORY - INTERMEDIATE,"2,799 ft²","3,570 ft²",259,"725,000"
shah-alam,p-l-1950-bukit-kemuning,11/06/2015,"✕, JALAN 32/3",TERRACE FACTORY - CORNER LOT,"3,100 ft²","3,530 ft²",290,"900,000"
shah-alam,p-l-1950-bukit-kemuning,03/12/2014,"✕, JALAN 32/4 (TJ)",TERRACE FACTORY - CORNER LOT,"3,057 ft²","3,530 ft²",294,"900,000"
shah-alam,p-l-1950-bukit-kemuning,,,,,,,
shah-alam,seksyen-33-shah-alam,26/06/2012,"✕✕. ✕, JALAN SAFIR 33/7, ALAM PREMIER INDUSTRIAL PARK",OTHERS - HOSTEL,701,"3,893,540","
							",
shah-alam,seksyen-33-shah-alam,,,,,,,
shah-alam,seksyen-28-shah-alam,14/03/2016,"✕✕✕✕✕, JALAN 28/35",DETACHED FACTORY,,,160,"69,000,000"
shah-alam,seksyen-28-shah-alam,,,,,,,
