City,Year,CityAddress,BuildingType,LandArea,PricePsf
petaling jaya,2015,"petaling jaya, jalan petaling utama 3 (pjs 1/28)",TERRACE FACTORY - INTERMEDIATE,"2,340",641
petaling jaya,2015,"petaling jaya, jalan petaling utama (jalan pjs 1/28)",TERRACE FACTORY - INTERMEDIATE,"2,340",477
petaling jaya,2014,"petaling jaya, jalan pjs 1/21a",TERRACE FACTORY - INTERMEDIATE,"2,002",450
petaling jaya,2014,"petaling jaya, jalan pjs 1/21a",TERRACE FACTORY - INTERMEDIATE,"2,002",450
petaling jaya,2014,"petaling jaya, jalan pjs 1/21a",TERRACE FACTORY - INTERMEDIATE,"2,002",599
petaling jaya,2013,"petaling jaya, jalan pjs 1/30",TERRACE FACTORY - INTERMEDIATE,"2,080",481
petaling jaya,2013,"petaling jaya, jalan petaling utama 5",TERRACE FACTORY - INTERMEDIATE,"2,080",213
petaling jaya,2017,"petaling jaya, jalan ss 25/41",TERRACE FACTORY - INTERMEDIATE,"3,003",699
petaling jaya,2017,"petaling jaya, jalan ss 25/28",TERRACE FACTORY - INTERMEDIATE,"2,000",650
petaling jaya,2017,"petaling jaya, jalan ss 25/28",TERRACE FACTORY - END LOT,"2,000",700
petaling jaya,2016,"petaling jaya, jalan ss 25/28",TERRACE FACTORY - INTERMEDIATE,"3,548",648
petaling jaya,2016,"petaling jaya, jalan ss 25/28",TERRACE FACTORY - INTERMEDIATE,"3,550",648
petaling jaya,2016,"petaling jaya, jalan ss25/28",TERRACE FACTORY - INTERMEDIATE,"2,000",750
petaling jaya,2016,"petaling jaya, jalan ss 25/32",TERRACE FACTORY - INTERMEDIATE,"2,000",700
petaling jaya,2016,"petaling jaya, jalan ss 25/28",TERRACE FACTORY,"2,000",700
petaling jaya,2015,"petaling jaya, jalan ss 25/32",TERRACE FACTORY - INTERMEDIATE,"2,000",460
petaling jaya,2016,"petaling jaya, jalan medan 3 @ jalanpjs 3/2",TERRACE FACTORY - INTERMEDIATE,"1,800",294
petaling jaya,2016,"petaling jaya, jalan medan 3 @ jalanpjs 3/2",TERRACE FACTORY - INTERMEDIATE,"1,800",294
petaling jaya,2016,"petaling jaya, jalan pjs 3/6",TERRACE FACTORY,"1,800",350
petaling jaya,2015,"petaling jaya, jalan pjs 3/7",TERRACE FACTORY - INTERMEDIATE,"1,800",317
petaling jaya,2015,"petaling jaya, jalan ss 25/28",TERRACE FACTORY - INTERMEDIATE,"2,000",523
petaling jaya,2015,"petaling jaya, jalan pjs 3/6",TERRACE FACTORY,"1,800",194
petaling jaya,2015,"petaling jaya, jalan pjs 3/7 (medan 7)",TERRACE FACTORY - INTERMEDIATE,"1,800",361
petaling jaya,2014,"petaling jaya, jalan pjs 3/6",TERRACE FACTORY - INTERMEDIATE,"1,800",367
petaling jaya,2014,"petaling jaya, jalan pjs 3/2",TERRACE FACTORY - INTERMEDIATE,"1,800",228
petaling jaya,2013,"petaling jaya, jalan pjs 3/4",TERRACE FACTORY - INTERMEDIATE,"1,800",239
petaling jaya,2013,"petaling jaya, jalan pjs 3/4",TERRACE FACTORY - INTERMEDIATE,"1,800",250
petaling jaya,2017,"petaling jaya, jalan kemajuan, pj industraial park",MULTI-STOREY FACTORY,"1,238",283
petaling jaya,2017,"petaling jaya, jalan kemajuan",MULTI-STOREY FACTORY,"1,259",310
petaling jaya,2016,"petaling jaya, jalan kemajuan",MULTI-STOREY FACTORY,"1,230",260
petaling jaya,2016,"petaling jaya, jalan kemajuan, pj inds park",MULTI-STOREY FACTORY,"1,001",565
petaling jaya,2016,"petaling jaya, jalan kemajuan (pj industrial park)",MULTI-STOREY FACTORY,892,323
petaling jaya,2016,"petaling jaya, jalan kemajuan, pj industrial park",MULTI-STOREY FACTORY,"1,253",235
petaling jaya,2015,"petaling jaya, jalan kemajuan",MULTI-STOREY FACTORY,"1,074",819
petaling jaya,2015,"petaling jaya, jalan kemajuan",MULTI-STOREY FACTORY,"1,063",282
petaling jaya,2015,"petaling jaya, jalan kemajuan",MULTI-STOREY FACTORY,"1,068",248
petaling jaya,2015,"petaling jaya, jalan kemajuan",MULTI-STOREY FACTORY,"1,089",321
klang,2017,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"10,060",408
klang,2016,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"10,764",418
klang,2015,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"10,064",427
klang,2014,"klang, jalan sungai jeluh 32/191",SEMI-D FACTORY,"10,544",439
klang,2013,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"11,259",435
klang,2013,"klang, jalan sungai jeluh 32/191",SEMI-D FACTORY,"10,549",444
